Point Cloud Visibility
87
Visibility for camera IMG_20241230_135636.jpg
689
0 72.2191 715.083
1 73.953 607.273
2 81.7216 765.587
3 97.6296 517.499
4 115.437 428.722
5 122.671 718.407
6 134.515 552.049
7 135.909 526.994
8 137.715 855.506
9 165.238 533.916
10 184.099 465.262
11 184.099 465.262
12 188.236 694.144
13 196.799 569.523
14 202.513 554.438
15 209.455 718.146
16 211.573 583.174
17 211.573 583.174
18 213.946 637.892
19 215.611 504.079
20 224.098 875.183
21 233.08 767.083
22 249.738 504.762
23 250.875 611.59
24 256.355 494.769
25 258.169 597.228
26 262.987 434.757
27 269.897 430.307
28 276.708 546.962
29 290.675 622.924
30 294.412 289.122
31 298.804 393.672
32 300.503 642.445
33 312.833 424.079
34 319.076 473.164
35 324.64 300.089
36 339.623 250.198
37 344.579 453.941
38 347.983 835.599
39 350.984 553.488
40 350.984 553.488
41 355.602 503.302
42 355.602 503.302
43 363.82 389.052
44 365.801 793.938
45 379.504 645.805
46 384.035 528.176
47 386.151 517.527
48 392.131 505.827
49 392.809 553.006
50 394.126 836.77
51 394.704 678.391
52 394.704 678.391
53 400.049 715.001
54 402.637 871.96
55 412.598 513.242
56 412.968 696.197
57 414.308 465.28
58 416.933 621.379
59 416.933 621.379
60 417.197 474.714
61 421.254 678.449
62 421.336 545.682
63 423.834 448.729
64 424.06 487.272
65 425.184 487.993
66 437.157 591.428
67 437.857 524.575
68 438.625 474.7
69 442.992 440.903
70 447.009 354.943
71 447.403 732.177
72 449.17 573.339
73 449.334 512.56
74 451.563 627.59
75 452.62 706.817
76 457.42 388.566
77 461.072 386.095
78 463.57 489.799
79 464.611 461.812
80 470.44 505.967
81 470.553 526.424
82 471.79 443.534
83 472.595 514.21
84 473.394 612.371
85 476.885 359.307
86 479.764 432.259
87 483.295 754.368
88 490.959 432.874
89 491.23 336.924
90 495.884 514.467
91 497.693 414.114
92 498.275 525.697
93 505.123 446.695
94 507.175 406.301
95 507.895 591.366
96 510.226 497.327
97 510.226 497.327
98 519.365 700.132
99 519.693 459.918
100 520.972 527.504
101 522.475 477.649
102 526.052 435.133
103 526.463 614.077
104 539.29 445.337
105 540.259 403.796
106 540.259 403.796
107 540.509 540.318
108 542.132 384.252
109 542.132 384.252
110 543.706 495.077
111 548.582 431.978
112 549.369 719.608
113 549.402 559.363
114 550.146 462.281
115 551.135 509.551
116 552.518 487.804
117 555.938 481.315
118 556.581 552.912
119 559.541 395.351
120 560.387 608.68
121 562.404 441.322
122 567.02 537.796
123 567.235 601.847
124 568.434 380.985
125 569.653 433.131
126 571.664 455.319
127 573.947 441.38
128 575.855 543.011
129 577.563 386.899
130 582.371 564.356
131 586.016 387.808
132 587.49 468.106
133 589.113 865.591
134 591.71 611.537
135 591.99 619.039
136 592.684 639.921
137 596.359 593.723
138 598.006 471.671
139 599.527 500.29
140 599.62 731.766
141 600.044 497.368
142 600.354 421.887
143 600.464 457.829
144 600.47 402.04
145 606.794 381.291
146 608.431 471.982
147 609.891 612.035
148 610.367 487.922
149 614.742 552.129
150 614.869 483.3
151 614.869 483.3
152 615.128 433.088
153 616.784 603.107
154 618.744 649.831
155 621.718 580.177
156 621.718 580.177
157 624.192 480.909
158 626.354 551.284
159 626.354 551.284
160 629.826 639.976
161 630.394 296.566
162 633.7 604.513
163 633.799 597.342
164 634.44 543.223
165 635.458 360.479
166 638.294 401.824
167 638.698 558.219
168 639.326 584.373
169 639.577 494.236
170 639.577 494.236
171 640.333 574.493
172 643.944 738.019
173 643.944 738.019
174 644.06 403.031
175 644.451 564.813
176 647.274 653.151
177 650.612 508.448
178 650.98 367.797
179 651.163 623.102
180 651.163 623.102
181 651.213 393.716
182 651.481 581.592
183 651.526 499.746
184 652.674 557.979
185 654.612 570.542
186 654.926 468.121
187 655.515 661.022
188 656.258 505.782
189 657.337 450.508
190 660.716 394.785
191 662.95 440.41
192 664.294 375.563
193 664.975 660.965
194 670.298 409.388
195 672.447 568.108
196 672.447 568.108
197 672.605 402.343
198 672.811 451.938
199 674.421 461.513
200 675.121 606.055
201 675.121 606.055
202 675.452 482.642
203 676.688 392.314
204 676.849 561.498
205 676.849 561.498
206 682.721 573.913
207 685.196 523.516
208 686.316 448.438
209 687.3 455.428
210 687.545 371.791
211 690.528 553.738
212 691.811 569.271
213 691.922 376.876
214 694.505 693.07
215 695.574 598.187
216 695.574 598.187
217 697.191 495.564
218 698.38 588.328
219 698.388 521.83
220 698.388 521.83
221 700.136 681.966
222 701.309 591.303
223 703.621 567.702
224 708.505 557.995
225 708.578 664.187
226 709.219 485.049
227 709.246 702.148
228 711.048 525.434
229 711.543 426.032
230 712.013 598.271
231 713.813 659.509
232 714.143 455.87
233 714.936 432.431
234 716.227 630.575
235 718.804 713.638
236 719.336 550.734
